Title,City,Filed As,Verdict,Confidence,Real Type,Reason,Proposed Action,Raw Industry,Rating,Reviews,Address,Google Maps Link
M Lhuillier - General Luna,General Luna,currency exchange,CORRECT,high,financial institution,type 'financial institution' matches currency exchange,keep in 'currency exchange',Financial institution  Q5M4+RFClosed  Opens 7:30 AM,5.0,(1),0947 999 0337,https://www.google.com/maps/place/M+Lhuillier+-+General+Luna/data=!4m7!3m6!1s0x3303f70f6cf6ab13:0xd4406c6d723bc57d!8m2!3d9.7844631!4d126.1562083!16s%2Fg%2F11msjs8f41!19sChIJE6v2bA_3AzMRfcU7cm1sQNQ?authuser=0&hl=en&rclk=1
Arugao Wellness and Spa Siargao,General Luna,currency exchange,INCORRECT,high,spa,type 'spa' is excluded from currency exchange,drop from 'currency exchange'  (true type: spa — reclassify there if wanted),Spa  Tourism RdClosed  Opens 1 PM,4.3,(86),0915 649 6527,https://www.google.com/maps/place/Arugao+Wellness+and+Spa+Siargao/data=!4m7!3m6!1s0x3303f7d20316cc0f:0xe24d13e140feea83!8m2!3d9.7909514!4d126.1616883!16s%2Fg%2F11l6c8hwdx!19sChIJD8wWA9L3AzMRg-r-QOETTeI?authuser=0&hl=en&rclk=1
Lola's Rentals,General Luna,currency exchange,INCORRECT,high,scooter rental service,type 'scooter rental service' is excluded from currency exchange,drop from 'currency exchange'  (true type: scooter rental service — reclassify there if wanted),Scooter rental service  Lola's Rentals Tourism RdClosed  Opens 9 AM,5.0,(525),0969 444 3413,https://www.google.com/maps/place/Lola%27s+Rentals/data=!4m7!3m6!1s0x3304090069d4cb4d:0x48a08e679185497b!8m2!3d9.7991596!4d126.15772!16s%2Fg%2F11s9j9p_nv!19sChIJTcvUaQAJBDMRe0mFkWeOoEg?authuser=0&hl=en&rclk=1
Hibiscus Spa Siargao,General Luna,currency exchange,INCORRECT,high,massage spa,type 'massage spa' is excluded from currency exchange,drop from 'currency exchange'  (true type: massage spa — reclassify there if wanted),Massage spa  Purok,4.6,(90),3 Tourism Rd,https://www.google.com/maps/place/Hibiscus+Spa+Siargao/data=!4m7!3m6!1s0x3303f7a96b51a8cf:0x4abe56589a43ff78!8m2!3d9.7875367!4d126.1627867!16s%2Fg%2F11w_fvr39n!19sChIJz6hRa6n3AzMReP9DmlhWvko?authuser=0&hl=en&rclk=1
Siargao 24/7 Telemedicine Clinic,General Luna,medical clinic,CORRECT,high,medical clinic,type 'medical clinic' matches medical clinic,keep in 'medical clinic',Medical clinic,5.0,(1),"Q5P4+48, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Siargao+24%2F7+Telemedicine+Clinic/data=!4m7!3m6!1s0x3303f57786699fa3:0xc6f67598c12c747!8m2!3d9.7853125!4d126.1558125!16s%2Fg%2F11msws5h89!19sChIJo59phnf1AzMRR8cSjFlnbww?authuser=0&hl=en&rclk=1
General Luna Rural Health Unit,General Luna,medical clinic,CORRECT,high,medical center,type 'medical center' matches medical clinic,keep in 'medical clinic',Medical Center,4.0,(4),"Q5J4+MQ3 Siargao Island, General Luna, Lalawigan ng Surigao del Norte",https://www.google.com/maps/place/General+Luna+Rural+Health+Unit/data=!4m7!3m6!1s0x3303f6144ca4329d:0x9ae68d44a3150507!8m2!3d9.7816281!4d126.1569285!16s%2Fg%2F1tc_65zk!19sChIJnTKkTBT2AzMRBwUVo0SN5po?authuser=0&hl=en&rclk=1
General Luna Primary Care Facility,General Luna,medical clinic,CORRECT,high,community health center,type 'community health center' matches medical clinic,keep in 'medical clinic',Community health center,5.0,(1),"Q5R4+QFF, Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/General+Luna+Primary+Care+Facility/data=!4m7!3m6!1s0x3303f70048bbd46b:0x70b59c9c4776c910!8m2!3d9.7919543!4d126.1561028!16s%2Fg%2F11x5pmwvz1!19sChIJa9S7SAD3AzMREMl2R5yctXA?authuser=0&hl=en&rclk=1
Rabies Buster - Animal Bite Center Clinic (Siargao Island Branch),General Luna,medical clinic,CORRECT,high,medical clinic,type 'medical clinic' matches medical clinic,keep in 'medical clinic',Medical clinic,5.0,(7),"G/F Unit 106-107, Brgy, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Rabies+Buster+-+Animal+Bite+Center+Clinic+%28Siargao+Island+Branch%29/data=!4m7!3m6!1s0x33040900391244a5:0x2288aa141c0f69a0!8m2!3d9.8118628!4d126.1632119!16s%2Fg%2F11ym8xzjg1!19sChIJpUQSOQAJBDMRoGkPHBSqiCI?authuser=0&hl=en&rclk=1
Recovery Current,General Luna,medical clinic,CORRECT,high,physical therapy clinic,type 'physical therapy clinic' matches medical clinic,keep in 'medical clinic',Physical therapy clinic,5.0,(10),"Tourism Rd, Brgy. Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Recovery+Current/data=!4m7!3m6!1s0x3304090392ffc355:0x5ed39a971b007dfe!8m2!3d9.7962276!4d126.1602883!16s%2Fg%2F11z15r5q3c!19sChIJVcP_kgMJBDMR_n0AG5ea014?authuser=0&hl=en&rclk=1
PEOPLE'S DRUGSTORE,General Luna,pharmacy,CORRECT,high,pharmacy,type 'pharmacy' matches pharmacy,keep in 'pharmacy',Pharmacy,4.0,(4),"Q5M4+FGP, Dapa, General Luna, Surigao del Norte",https://www.google.com/maps/place/PEOPLE%27S+DRUGSTORE/data=!4m7!3m6!1s0x3303f6166e23a93d:0x27a916af0d40cdf9!8m2!3d9.7837122!4d126.1563293!16s%2Fg%2F11wj6fcxvz!19sChIJPakjbhb2AzMR-c1ADa8WqSc?authuser=0&hl=en&rclk=1
LIFECHECK PHARMA,General Luna,pharmacy,CORRECT,high,pharmacy,type 'pharmacy' matches pharmacy,keep in 'pharmacy',Pharmacy,3.9,(9),"Pob. 2, General Luna, Surigao del Norte",https://www.google.com/maps/place/LIFECHECK+PHARMA/data=!4m7!3m6!1s0x3303f70025e3a4b5:0x5e0a83cd64e198c2!8m2!3d9.7832832!4d126.1553571!16s%2Fg%2F11w3qp0n6y!19sChIJtaTjJQD3AzMRwpjhZM2DCl4?authuser=0&hl=en&rclk=1
TGP The Generics Pharmacy (General Luna),General Luna,pharmacy,CORRECT,high,pharmacy,type 'pharmacy' matches pharmacy,keep in 'pharmacy',Pharmacy,4.0,(6),"JFC COMMERCIAL CENTER, Poblacion I (Purok I), General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/TGP+The+Generics+Pharmacy+%28General+Luna%29/data=!4m7!3m6!1s0x3303f7cf38b6a715:0x1032f17174404ea0!8m2!3d9.7848935!4d126.1559904!16s%2Fg%2F11j96sqkpy!19sChIJFae2OM_3AzMRoE5AdHHxMhA?authuser=0&hl=en&rclk=1
MASSAGE CARE SPA-Siargao,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,5.0,(24),"San Roque - Sabang, Purok 3, General Luna, Surigao del Norte",https://www.google.com/maps/place/MASSAGE+CARE+SPA-Siargao/data=!4m7!3m6!1s0x3301316ae8574885:0x5ecd7b2e23cb55c6!8m2!3d9.7837075!4d126.1577118!16s%2Fg%2F11zjmck1nm!19sChIJhUhX6GoxATMRxlXLIy57zV4?authuser=0&hl=en&rclk=1
OM Spa and Wellness,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,5.0,(44),"OM Home, Tourism Rd, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/OM+Spa+and+Wellness/data=!4m7!3m6!1s0x330409c35f57ddff:0xa6d3a764bc5394e!8m2!3d9.7999854!4d126.1600448!16s%2Fg%2F11z38yrst8!19sChIJ_91XX8MJBDMRTjnFS3Y6bQo?authuser=0&hl=en&rclk=1
Celestia Spa and Aesthetics,General Luna,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,4.9,(71),"Q5P4+7H3 Lot No. 1761 General Luna Siargao Poblacion V (Purok V, Surigao del Norte",https://www.google.com/maps/place/Celestia+Spa+and+Aesthetics/data=!4m7!3m6!1s0x3303f7949de92977:0xb6853d23c92bdd3c!8m2!3d9.7855633!4d126.1563797!16s%2Fg%2F11yyf8pymc!19sChIJdynpnZT3AzMRPN0rySM9hbY?authuser=0&hl=en&rclk=1
Nemil Massage - Siargao,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.8,(43),"Across Strangers Inn Pangdan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Nemil+Massage+-+Siargao/data=!4m7!3m6!1s0x3304090035436b37:0x922a9a5c055bc0c1!8m2!3d9.7857443!4d126.1587165!16s%2Fg%2F11h0t5r2h3!19sChIJN2tDNQAJBDMRwcBbBVyaKpI?authuser=0&hl=en&rclk=1
Reefresh Spa - Siargao,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.6,(63),"Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Reefresh+Spa+-+Siargao/data=!4m7!3m6!1s0x3303f794a4effe21:0x59389470742acc20!8m2!3d9.7881184!4d126.1622767!16s%2Fg%2F11mdmkt_bx!19sChIJIf7vpJT3AzMRIMwqdHCUOFk?authuser=0&hl=en&rclk=1
LORS Waxing & Massage Services,General Luna,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,5.0,(27),"R546+W2Q, General Luna, Surigao del Norte",https://www.google.com/maps/place/LORS+Waxing+%26+Massage+Services/data=!4m7!3m6!1s0x330409003c1d13f9:0xbc3451134532bacb!8m2!3d9.8073344!4d126.160124!16s%2Fg%2F11n4f9hh3h!19sChIJ-RMdPAAJBDMRy7oyRRNRNLw?authuser=0&hl=en&rclk=1
MALINAWON SPA,General Luna,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,3.9,(25),"Tourism Rd, poblacion 3, General Luna, Surigao del Norte",https://www.google.com/maps/place/MALINAWON+SPA/data=!4m7!3m6!1s0x3303f7e29d2cb3f7:0x89e27f4ba27eb7d3!8m2!3d9.785049!4d126.1600843!16s%2Fg%2F11h53047wr!19sChIJ97MsneL3AzMR07d-okt_4ok?authuser=0&hl=en&rclk=1
Sirenity Body Massage Spa,General Luna,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,4.6,(8),"Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Sirenity+Body+Massage+Spa/data=!4m7!3m6!1s0x3303f7935a5e25d7:0x12f2641a47fbc7ac!8m2!3d9.7885664!4d126.1621891!16s%2Fg%2F11mz1hs144!19sChIJ1yVeWpP3AzMRrMf7Rxpk8hI?authuser=0&hl=en&rclk=1
Isla Masahista Siargao (Home/hotel service massage only),General Luna,massage spa,CORRECT,high,spa and health club,type 'spa and health club' matches massage spa,keep in 'massage spa',Spa and health club,4.7,(6),"None, Purok 2 general luna, Surigao city, 8420 Surigao del Norte",https://www.google.com/maps/place/Isla+Masahista+Siargao+%28Home%2Fhotel+service+massage+only%29/data=!4m7!3m6!1s0x3303f772794b4e01:0xd4bc95ad25d96b59!8m2!3d9.7828216!4d126.1543364!16s%2Fg%2F11mymmxrq7!19sChIJAU5LeXL3AzMRWWvZJa2VvNQ?authuser=0&hl=en&rclk=1
I Love Massage Services,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,5.0,(55),"Q5M3+29H, Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/I+Love+Massage+Services/data=!4m7!3m6!1s0x3303f7007b9f0529:0x3cb8e13299c98cb1!8m2!3d9.7827374!4d126.1532345!16s%2Fg%2F11xmf5xlf4!19sChIJKQWfewD3AzMRsYzJmTLhuDw?authuser=0&hl=en&rclk=1
BODY VIBE SPA,General Luna,massage spa,CORRECT,high,spa and health club,type 'spa and health club' matches massage spa,keep in 'massage spa',Spa and health club,5.0,(2),"PUROK 5 8419, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/BODY+VIBE+SPA/data=!4m7!3m6!1s0x3303f700149fa927:0xd3314cfed0ae00de!8m2!3d9.7854099!4d126.1560184!16s%2Fg%2F11m6mwgc46!19sChIJJ6mfFAD3AzMR3gCu0P5MMdM?authuser=0&hl=en&rclk=1
Tropics Beauty Lounge & Spa,General Luna,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,4.3,(228),"Tourism Rd, Siargao, 8419 Surigao del Norte",https://www.google.com/maps/place/Tropics+Beauty+Lounge+%26+Spa/data=!4m7!3m6!1s0x3303f70956e38f9f:0x2450df0746e6796d!8m2!3d9.7842032!4d126.157874!16s%2Fg%2F11sv0mvw_g!19sChIJn4_jVgn3AzMRbXnmRgffUCQ?authuser=0&hl=en&rclk=1
Kuya Yulac & Ate Ning,General Luna,massage spa,CORRECT,high,massage therapist,type 'massage therapist' matches massage spa,keep in 'massage spa',Massage therapist,4.9,(8),"Q5R3+26V, Poblacion V (Purok V, General Luna, Surigao del Norte",https://www.google.com/maps/place/Kuya+Yulac+%26+Ate+Ning/data=!4m7!3m6!1s0x3303f7004328e199:0x86c535efd8328674!8m2!3d9.7901184!4d126.1530528!16s%2Fg%2F11yphcx9mb!19sChIJmeEoQwD3AzMRdIYy2O81xYY?authuser=0&hl=en&rclk=1
LABJANAN REJUVENATION SALON AND SPA,General Luna,massage spa,CORRECT,high,beauty salon,type 'beauty salon' matches massage spa,keep in 'massage spa',Beauty salon,5.0,(14),"Siargao Island, Purok 6, Baranggay, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/LABJANAN+REJUVENATION+SALON+AND+SPA/data=!4m7!3m6!1s0x33040900188869ed:0xa56f3bce5a23f031!8m2!3d9.7915812!4d126.146097!16s%2Fg%2F11mrrk_gcv!19sChIJ7WmIGAAJBDMRMfAjWs47b6U?authuser=0&hl=en&rclk=1
Pinay Massage & Spa,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.8,(66),"Siargao Island, Blue House, Purok 5 kermit street, General Luna",https://www.google.com/maps/place/Pinay+Massage+%26+Spa/data=!4m7!3m6!1s0x3303f70061749375:0xff65f4d02b5aad26!8m2!3d9.7879993!4d126.1622608!16s%2Fg%2F11y5k48rmr!19sChIJdZN0YQD3AzMRJq1aK9D0Zf8?authuser=0&hl=en&rclk=1
Valhalla Sauna Spa,General Luna,massage spa,CORRECT,high,health spa,type 'health spa' matches massage spa,keep in 'massage spa',Health spa,5.0,(94),"General Luna, Surigao del Norte",https://www.google.com/maps/place/Valhalla+Sauna+Spa/data=!4m7!3m6!1s0x3303f70057a53053:0xeccfb4a452160bf4!8m2!3d9.7904287!4d126.1508244!16s%2Fg%2F11ygw1vzml!19sChIJUzClVwD3AzMR9AsWUqS0z-w?authuser=0&hl=en&rclk=1
Sarong Spa and Coffee Shop,General Luna,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,3.6,(15),"Q5W6+96M, Warung, General Luna, Surigao del Norte",https://www.google.com/maps/place/Sarong+Spa+and+Coffee+Shop/data=!4m7!3m6!1s0x3303f70041453cdf:0xd763fbbfcdde4cc0!8m2!3d9.795968!4d126.1605402!16s%2Fg%2F11vk15fxz0!19sChIJ3zxFQQD3AzMRwEzezb_7Y9c?authuser=0&hl=en&rclk=1
SIARGAO MOBILE MASSAGE SERVICES,General Luna,massage spa,CORRECT,high,massage therapist,type 'massage therapist' matches massage spa,keep in 'massage spa',Massage therapist,5.0,(21),"Tourism Rd, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/SIARGAO+MOBILE+MASSAGE+SERVICES/data=!4m7!3m6!1s0xaf4d593fad130711:0x4a31f7a7c9b2fdce!8m2!3d9.8080135!4d126.1602522!16s%2Fg%2F11x5lb3zj5!19sChIJEQcTrT9ZTa8Rzv2yyaf3MUo?authuser=0&hl=en&rclk=1
Isla Massaje Home Massage Therapy,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,3.8,(8),"Purok 5, beside Hangloose, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Isla+Massaje+Home+Massage+Therapy/data=!4m7!3m6!1s0x3303f7075401570f:0x3e30ed036707e3d1!8m2!3d9.7884222!4d126.1577741!16s%2Fg%2F11xflv49t1!19sChIJD1cBVAf3AzMR0eMHZwPtMD4?authuser=0&hl=en&rclk=1
THE HEALING MASSAGE SIARGAO-HOME SERVICE,General Luna,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,5.0,(3),,https://www.google.com/maps/place/THE+HEALING+MASSAGE+SIARGAO-HOME+SERVICE/data=!4m7!3m6!1s0x4b85c32d0bc98c89:0xa01673ab6929dbad!8m2!3d9.7236485!4d126.1374314!16s%2Fg%2F11z3gx86d5!19sChIJiYzJCy3DhUsRrdspaatzFqA?authuser=0&hl=en&rclk=1
Marina Siargao Nails & Lashes spa,General Luna,massage spa,CORRECT,high,beauty salon,type 'beauty salon' matches massage spa,keep in 'massage spa',Beauty salon,4.9,(82),"libertad, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Marina+Siargao+Nails+%26+Lashes+spa/data=!4m7!3m6!1s0x330409edfb6029d3:0xda51470bc235dd84!8m2!3d9.8280277!4d126.1418126!16s%2Fg%2F11s2ygcs8s!19sChIJ0ylg--0JBDMRhN01wgtHUdo?authuser=0&hl=en&rclk=1
The Sanctuary Siargao,General Luna,massage spa,CORRECT,high,wellness center,type 'wellness center' matches massage spa,keep in 'massage spa',Wellness center,5.0,(3),"Q5R5+JRP, General Luna, Surigao del Norte",https://www.google.com/maps/place/The+Sanctuary+Siargao/data=!4m7!3m6!1s0x3303f7007e7e4ec1:0x746c35e65127a7a3!8m2!3d9.792427!4d126.159378!16s%2Fg%2F11nb38b9jc!19sChIJwU5-fgD3AzMRo6cnUeY1bHQ?authuser=0&hl=en&rclk=1
Ayo Spa,General Luna,massage spa,CORRECT,high,beauty salon,type 'beauty salon' matches massage spa,keep in 'massage spa',Beauty salon,4.6,(5),"Q5Q6+8XG, Tourism Rd, General Luna, Surigao del Norte",https://www.google.com/maps/place/Ayo+Spa/data=!4m7!3m6!1s0x3303f760c6b07929:0x358f115694a9813a!8m2!3d9.7883005!4d126.1624389!16s%2Fg%2F11h55n9xhm!19sChIJKXmwxmD3AzMROoGplFYRjzU?authuser=0&hl=en&rclk=1
ESKAPO FITNESS SIARGAO,General Luna,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,4.6,(147),"General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/ESKAPO+FITNESS+SIARGAO/data=!4m7!3m6!1s0x3303f7c674e91797:0x337eb0233cc89ee7!8m2!3d9.7889375!4d126.1599375!16s%2Fg%2F11k474n67f!19sChIJlxfpdMb3AzMR557IPCOwfjM?authuser=0&hl=en&rclk=1
SwimFIT Siargao,General Luna,gym,CORRECT,high,swimming instructor,type 'swimming instructor' matches gym,keep in 'gym',Swimming instructor,5.0,(112),"Purok 5 main backroad, right across fire station, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/SwimFIT+Siargao/data=!4m7!3m6!1s0x3303f7e692ec4a23:0x75e7c0f82c3092ba!8m2!3d9.7945713!4d126.158776!16s%2Fg%2F11y7ht27wc!19sChIJI0rskub3AzMRupIwLPjA53U?authuser=0&hl=en&rclk=1
SOS FIGHT GYM,General Luna,gym,CORRECT,high,muay thai boxing gym,type 'muay thai boxing gym' matches gym,keep in 'gym',Muay Thai boxing gym,4.9,(114),"General Luna, Surigao del Norte",https://www.google.com/maps/place/SOS+FIGHT+GYM/data=!4m7!3m6!1s0x3303f72d4bfb8c35:0xb669b9cd2f22929c!8m2!3d9.776782!4d126.1416931!16s%2Fg%2F11hdjv5jf4!19sChIJNYz7Sy33AzMRnJIiL825abY?authuser=0&hl=en&rclk=1
Siargao Climbing,General Luna,gym,CORRECT,high,rock climbing gym,type 'rock climbing gym' matches gym,keep in 'gym',Rock climbing gym,5.0,(44),"Padel and Palms, Siargao, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Siargao+Climbing/data=!4m7!3m6!1s0x3304091dedde8b8f:0xe68ec3430070d792!8m2!3d9.8022457!4d126.1586113!16s%2Fg%2F11xsrb2krv!19sChIJj4ve7R0JBDMRktdwAEPDjuY?authuser=0&hl=en&rclk=1
Emerald Yoga Breathwork Siargao,General Luna,gym,CORRECT,high,wellness center,"type 'wellness center', but name reads as gym",keep in 'gym',Wellness center,5.0,(71),"Tourism Rd, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Emerald+Yoga+Breathwork+Siargao/data=!4m7!3m6!1s0x3303f7027e1cc755:0x1712740b4d187cd4!8m2!3d9.8105783!4d126.1648256!16s%2Fg%2F11y431t_7j!19sChIJVcccfgL3AzMR1HwYTQt0Ehc?authuser=0&hl=en&rclk=1
Tropeak Climbing Sauna & Ice Bath,General Luna,gym,CORRECT,high,rock climbing,type 'rock climbing' matches gym,keep in 'gym',Rock climbing,5.0,(130),"catangnan, general luna, surigao del norte, 8419 Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Tropeak+Climbing+Sauna+%26+Ice+Bath/data=!4m7!3m6!1s0x330409b7ab65cef3:0xd1f807a11d9f6981!8m2!3d9.8085545!4d126.1580909!16s%2Fg%2F11zkmvh7wh!19sChIJ885lq7cJBDMRgWmfHaEH-NE?authuser=0&hl=en&rclk=1
Kermit Yoga Shala Siargao,General Luna,gym,CORRECT,high,yoga studio,type 'yoga studio' matches gym,keep in 'gym',Yoga studio,4.9,(13),"Kermit surf resort, Purok 5, General Luna",https://www.google.com/maps/place/Kermit+Yoga+Shala+Siargao/data=!4m7!3m6!1s0x3303f7005e7cb315:0xed7dc909c0da5b8!8m2!3d9.7877393!4d126.160236!16s%2Fg%2F11ycd5ww0j!19sChIJFbN8XgD3AzMRuKUNnJDc1w4?authuser=0&hl=en&rclk=1
Feral Pilates & Physical Therapy,General Luna,gym,CORRECT,high,pilates studio,type 'pilates studio' matches gym,keep in 'gym',Pilates studio,5.0,(46),"SOS Gym, Floor 1 Unit 3, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Feral+Pilates+%26+Physical+Therapy/data=!4m7!3m6!1s0x3303f73a9fa86a45:0x8e865db944b9dfc4!8m2!3d9.7768351!4d126.1416404!16s%2Fg%2F11x2xwcxrp!19sChIJRWqonzr3AzMRxN-5RLldho4?authuser=0&hl=en&rclk=1
Buddha Wellness,General Luna,gym,INCORRECT,high,wellness center,type 'wellness center' is not a gym,drop from 'gym'  (true type: wellness center — reclassify there if wanted),Wellness center,5.0,(105),"Buddha Resort, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Buddha+Wellness/data=!4m7!3m6!1s0x3303f745508fd161:0xcfa7cd84ef635492!8m2!3d9.7965975!4d126.1597235!16s%2Fg%2F11y7bs_5xt!19sChIJYdGPUEX3AzMRklRj74TNp88?authuser=0&hl=en&rclk=1
Bodhi Yoga Center Siargao - Lakshmi,General Luna,gym,CORRECT,high,yoga studio,type 'yoga studio' matches gym,keep in 'gym',"Yoga studio  Closed  Opens 8:30 AM  ""I tried",4.9,(64),"General Luna, Surigao del Norte",https://www.google.com/maps/place/Bodhi+Yoga+Center+Siargao+-+Lakshmi/data=!4m11!3m10!1s0x3303f75edf07e21d:0x806909b81e4dbee2!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7949127!4d126.1550674!16s%2Fg%2F11v06jf6ks!19sChIJHeIH3173AzMR4r5NHrgJaYA?authuser=0&hl=en&rclk=1
Consuelo Gymnasium,General Luna,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,4.3,(4),"Q4W5+9HM, General Luna, Surigao del Norte",https://www.google.com/maps/place/Consuelo+Gymnasium/data=!4m7!3m6!1s0x3303f7e7079aaaab:0xd93cea47017e7f8a!8m2!3d9.7959515!4d126.1089148!16s%2Fg%2F11sskrk9x5!19sChIJq6qaB-f3AzMRin9-AUfqPNk?authuser=0&hl=en&rclk=1
"Anantha Yoga, Pilates & Sound Healing Classes Siargao",General Luna,gym,CORRECT,high,wellness center,"type 'wellness center', but name reads as gym",keep in 'gym',Wellness center,5.0,(20),"Libertad, General Luna, 8419 Surigao del Norte","https://www.google.com/maps/place/Anantha+Yoga,+Pilates+%26+Sound+Healing+Classes+Siargao/data=!4m7!3m6!1s0x330409e4f74fb4e5:0x4bf50d041f9d2b60!8m2!3d9.8332163!4d126.1401698!16s%2Fg%2F11yq8_q9p4!19sChIJ5bRP9-QJBDMRYCudHwQN9Us?authuser=0&hl=en&rclk=1"
Rich Spirit Yoga Siargao,General Luna,gym,CORRECT,high,yoga studio,type 'yoga studio' matches gym,keep in 'gym',Yoga studio,5.0,(22),"Siargao Island, Santa Fe, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Rich+Spirit+Yoga+Siargao/data=!4m7!3m6!1s0x33040943e03ee9f5:0x43efb6d228836cbb!8m2!3d9.8415722!4d126.133111!16s%2Fg%2F11y0ydz8x8!19sChIJ9ek-4EMJBDMRu2yDKNK270M?authuser=0&hl=en&rclk=1
Camiguin Island,General Luna,gym,CORRECT,high,gym,type 'gym' matches gym,keep in 'gym',Gym,5.0,(1),"Q449+VP, General Luna, Surigao del Norte",https://www.google.com/maps/place/Camiguin+Island/data=!4m7!3m6!1s0x3303f7001055a479:0xac2987effe780379!8m2!3d9.7571875!4d126.1193125!16s%2Fg%2F11z7gbsbzj!19sChIJeaRVEAD3AzMReQN4_u-HKaw?authuser=0&hl=en&rclk=1
Little Shell Yoga Shala,General Luna,gym,CORRECT,high,yoga studio,type 'yoga studio' matches gym,keep in 'gym',Yoga studio,5.0,(27),"Malinao Sands, Siargao Island, 8419 Surigao del Norte",https://www.google.com/maps/place/Little+Shell+Yoga+Shala/data=!4m7!3m6!1s0x3303f7959a54e813:0x60282bbeda9de34b!8m2!3d9.7597875!4d126.1260387!16s%2Fg%2F11zj8lfkkj!19sChIJE-hUmpX3AzMRS-Od2r4rKGA?authuser=0&hl=en&rclk=1
LASA Siargao,General Luna,gym,INCORRECT,high,restaurant,type 'restaurant' is excluded from gym,drop from 'gym'  (true type: restaurant — reclassify there if wanted),Restaurant,5.0,(63),"General Luna, Surigao del Norte",https://www.google.com/maps/place/LASA+Siargao/data=!4m7!3m6!1s0x3303f7004569ed2f:0xac2f985f3b12f141!8m2!3d9.7878964!4d126.1617859!16s%2Fg%2F11yxlhn89b!19sChIJL-1pRQD3AzMRQfESO1-YL6w?authuser=0&hl=en&rclk=1
Pepito’s Homestay,General Luna,gym,INCORRECT,high,housing complex,type 'housing complex' is excluded from gym,drop from 'gym'  (true type: housing complex — reclassify there if wanted),Housing complex,4.4,(48),"Q5Q5+CW7, General Luna, Surigao del Norte",https://www.google.com/maps/place/Pepito%E2%80%99s+Homestay/data=!4m7!3m6!1s0x3303f7d76130a5cb:0x5c5239945208fe36!8m2!3d9.7888692!4d126.1598565!16s%2Fg%2F11pd34c14b!19sChIJy6UwYdf3AzMRNv4IUpQ5Ulw?authuser=0&hl=en&rclk=1
